ID,MAIN CAT,SUB CAT
1,Braiding,Bone straight
2,Braiding,Butterfly locs
3,Braiding,Caribbean locs
4,Braiding,Coco twist
5,Braiding,Corn rows
6,Braiding,Faux locs
7,Braiding,Invincible locs
8,Braiding,Knotless 
9,Braiding,Marley twist
10,Braiding,Passion twist
11,Braiding,Pony
12,Braiding,Soft locs
13,Braiding,Spiral boho
14,Braiding,Dyeing
15,Braiding,Curl feed-in
16,Lash,Classic(full set)
17,Lash,Hybrid lovers
18,Lash,Mega volume
19,Lash,Volume
20,Lash,Wet Set
21,Lash,Bottom lash
22,Lash,Wispy hybrid
23,Lash,Classic(refill)
24,Lash,Hybrid (refill)
25,Lash,Lash removal
26,Piercings,Body
27,Piercings,Ear
28,Piercings,Facial
29,Piercings,Oral
30,Extras,Hair bobbing/curling/straightening
31,Extras,Pedicure services
32,Extras,Retouching
33,Extras,Revamping
34,Extras,Steaming
35,Extras,Unbraiding
36,Extras,Volume(Refill)
37,Extras,Washing
38,Training,1 on 1 lash training
39,Training,1 on 1 braid training
